,yshort_name,igribparam,igribtable,itype_emiss,itype_flux,yunits,ystandard_name,ylong_name,ytype_adv,ytype_diff,ytype_turbmix,ytype_passconv,ytype_ini,ytype_lbc,ytype_bbc,ytype_relax,ytype_damp,ytype_clip,ldecay,lifetime,itype_tscale,ycatl,ytpl,yvpl
#,,,,,,,,,,,,,,,,,,,,,
,CO2_BG,101,13,0,0,kg kg-1,time-varying_CO2_mass_fraction_at_lateral_boundary,time-varying_CO2_mass_fraction_at_lateral_boundary,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
,CO_BG,102,13,0,0,kg kg-1,time-varying_CO_mass_fraction_at_lateral_boundary,time-varying_CO_mass_fraction_at_lateral_boundary,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
,C14_BG,106,13,0,0,kg kg-1,time-varying_14C02_at_lateral_boundary,time-varying_14C02_at_lateral_boundary,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
#,,,,,,,,,,,,,,,,,,,,,
,CO2_FF1,110,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_FF2,111,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_FF3,112,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_FF4,113,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_FF5,114,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_FF6,115,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF1,116,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF2,117,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF3,118,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF4,119,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF5,120,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_BF6,121,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC1,122,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC2,123,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC3,124,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC4,125,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC5,126,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_NC6,127,13,1,0,kg kg-1,CO2_mass_fraction_by_non_combustion_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF1,128,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF2,129,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF3,130,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF4,131,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF5,132,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_FF6,133,13,1,0,kg kg-1,CO2_mass_fraction_by_fossil_fuel_emissions,CO2_mass_fraction_by_fossil_fuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF1,134,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF2,135,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF3,136,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF4,137,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF5,138,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_BF6,139,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC1,190,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC2,191,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC3,192,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC4,193,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC5,194,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_NC6,195,13,1,0,kg kg-1,CO_mass_fraction_by_non_combustion_emissions,CO_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF1,140,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF2,141,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF3,142,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF4,143,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF5,144,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_BF6,145,13,1,0,kg kg-1,CO2_mass_fraction_by_biofuel_emissions,CO2_mass_fraction_by_biofuel_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC1,146,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC2,147,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC3,148,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC4,149,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC5,150,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NUC6,151,13,1,0,kg kg-1,CO2_mass_fraction_by_nuclear_emissions,CO2_mass_fraction_by_nuclear_emissions,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
#,,,,,,,,,,,,,,,,,,,,,
,CO2_GPP1,152,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_GPP2,153,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_GPP3,154,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_GPP4,155,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_GPP5,156,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_GPP6,157,13,1,0,kg kg-1,CO2_mass_fraction_by_GPP,CO2_mass_fraction_by_GPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA1,158,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA2,159,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA3,160,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA4,161,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA5,162,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_RA6,163,13,1,0,kg kg-1,CO2_mass_fraction_by_RA,CO2_mass_fraction_by_RA,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP1,164,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP2,165,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP3,166,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP4,167,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP5,168,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPP6,169,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_NPP,Positive_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN1,170,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN2,171,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN3,172,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN4,173,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN5,174,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_NPN6,175,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_NPP,Negative_CO2_mass_fraction_by_NPP,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR1,176,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR2,177,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR3,178,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR4,179,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR5,180,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_HR6,181,13,1,0,kg kg-1,14CO2_mass_fraction_by_HR,CO2_mass_fraction_by_HR,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
#,,,,,,,,,,,,,,,,,,,,
,CO2_O_P,182,13,1,0,kg kg-1,Positive_CO2_mass_fraction_by_ocean_processes,Positive_CO2_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO2_O_N,183,13,1,0,kg kg-1,Negative_CO2_mass_fraction_by_ocean_processes,Negative_CO2_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_O_P,184,13,1,0,kg kg-1,Positive_CO_mass_fraction_by_ocean_processes,Positive_CO_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,CO_O_N,185,13,1,0,kg kg-1,Negative_CO_mass_fraction_by_ocean_processes,Negative_CO_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_O_P,186,13,1,0,kg kg-1,Positive_14CO2_mass_fraction_by_ocean_processes,Positive_14CO2_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
,C14_O_N,187,13,1,0,kg kg-1,Negative_14CO2_mass_fraction_by_ocean_processes,Negative_14CO2_mass_fraction_by_ocean_processes,on,off,1D,on,zero,zero,zero_flux,full,off,on,.FALSE.,0,,,,
